,precision,recall,f1-score,support
Track Pants,0.4166666666666667,0.8620689655172413,0.5617977528089887,29.0
Tshirts,0.9419354838709677,0.5270758122743683,0.675925925925926,831.0
Shirts,0.47455295735900965,0.9478021978021978,0.6324472960586618,364.0
Socks,0.9253731343283582,0.8732394366197183,0.8985507246376812,71.0
Watches,0.963855421686747,0.851063829787234,0.903954802259887,282.0
Casual Shoes,0.5464362850971922,0.8083067092651757,0.6520618556701031,313.0
Belts,1.0,0.7432432432432432,0.8527131782945736,74.0
Flip Flops,0.8787878787878788,0.5471698113207547,0.6744186046511628,106.0
Handbags,0.9064327485380117,0.8201058201058201,0.8611111111111113,189.0
Tops,0.46124031007751937,0.5862068965517241,0.5162689804772234,203.0
Bra,0.7746478873239436,0.9166666666666666,0.8396946564885496,60.0
Shoe Accessories,0.0,0.0,0.0,1.0
Sweatshirts,0.0,0.0,0.0,32.0
Formal Shoes,0.5,0.9583333333333334,0.6571428571428571,72.0
Bracelet,0.09259259259259259,0.5555555555555556,0.15873015873015875,9.0
Lipstick,0.875,0.25,0.3888888888888889,28.0
Flats,0.0,0.0,0.0,61.0
Kurtas,0.859375,0.8776595744680851,0.868421052631579,188.0
Waistcoat,0.0,0.0,0.0,0.0
Sports Shoes,0.9595959595959596,0.38306451612903225,0.547550432276657,248.0
Shorts,0.76,0.5352112676056338,0.628099173553719,71.0
Briefs,0.9404761904761905,0.7821782178217822,0.8540540540540541,101.0
Sarees,0.5625,1.0,0.72,45.0
Perfume and Body Mist,0.38345864661654133,0.8360655737704918,0.5257731958762887,61.0
Heels,0.711764705882353,0.7707006369426752,0.7400611620795107,157.0
Sandals,0.6371681415929203,0.6792452830188679,0.6575342465753424,106.0
Pendant,0.2,0.038461538461538464,0.06451612903225806,26.0
Nail Polish,0.3508771929824561,0.5714285714285714,0.43478260869565216,35.0
Laptop Bag,0.0,0.0,0.0,7.0
Rain Jacket,0.0,0.0,0.0,2.0
Dresses,0.5526315789473685,0.42,0.4772727272727273,50.0
Skirts,0.5,0.15789473684210525,0.23999999999999996,19.0
Wallets,0.24703087885985747,0.9904761904761905,0.39543726235741444,105.0
Blazers,0.0,0.0,0.0,1.0
Ring,0.05,0.058823529411764705,0.05405405405405405,17.0
Sunglasses,1.0,0.5535714285714286,0.7126436781609196,112.0
Clutches,0.0,0.0,0.0,37.0
Shrug,0.0,0.0,0.0,0.0
Caps,0.5652173913043478,0.3939393939393939,0.4642857142857143,33.0
Innerwear Vests,0.7391304347826086,0.5151515151515151,0.6071428571428571,33.0
Earrings,0.43820224719101125,0.8666666666666667,0.582089552238806,45.0
Trousers,0.625,0.6,0.6122448979591836,50.0
Boxers,1.0,0.6666666666666666,0.8,3.0
Backpacks,0.7008547008547008,0.9879518072289156,0.8199999999999998,83.0
Jeans,0.6037735849056604,0.8533333333333334,0.7071823204419889,75.0
Jewellery Set,0.0,0.0,0.0,8.0
Dupatta,0.0,0.0,0.0,13.0
Capris,0.0,0.0,0.0,13.0
Bath Robe,0.0,0.0,0.0,2.0
Tunics,0.0,0.0,0.0,24.0
Jackets,0.0,0.0,0.0,28.0
Lounge Pants,0.0,0.0,0.0,7.0
Face Wash and Cleanser,0.0,0.0,0.0,4.0
Necklace and Chains,0.7777777777777778,0.30434782608695654,0.43750000000000006,23.0
Duffel Bag,0.0,0.0,0.0,11.0
Sports Sandals,0.0,0.0,0.0,6.0
Deodorant,0.0,0.0,0.0,31.0
Sweaters,0.3333333333333333,0.0967741935483871,0.15000000000000002,31.0
Free Gifts,0.0,0.0,0.0,13.0
Tracksuits,0.0,0.0,0.0,3.0
Shoe Laces,0.0,0.0,0.0,0.0
Trunk,0.6428571428571429,0.6,0.6206896551724138,15.0
Mufflers,0.0,0.0,0.0,3.0
Bangle,0.0,0.0,0.0,5.0
Ties,0.8157894736842105,1.0,0.898550724637681,31.0
Highlighter and Blush,0.0,0.0,0.0,6.0
Travel Accessory,0.0,0.0,0.0,3.0
Lip Care,0.0,0.0,0.0,0.0
Scarves,0.375,0.3333333333333333,0.35294117647058826,9.0
Messenger Bag,0.0,0.0,0.0,7.0
Compact,0.5,0.14285714285714285,0.22222222222222224,7.0
Night suits,1.0,0.0625,0.11764705882352941,16.0
Leggings,0.5,0.13636363636363635,0.21428571428571427,22.0
Eye Cream,0.0,0.0,0.0,2.0
