,precision,recall,f1-score,support
Black,0.6630747126436781,0.8798856053384175,0.756247439573945,1049.0
Grey,0.533678756476684,0.33993399339933994,0.4153225806451613,303.0
Green,0.5352941176470588,0.7250996015936255,0.6159052453468696,251.0
Navy Blue,0.5681818181818182,0.12886597938144329,0.21008403361344535,194.0
Blue,0.5492610837438424,0.8065099457504521,0.6534798534798536,553.0
White,0.6850746268656717,0.6759941089837997,0.6805040770941438,679.0
Beige,0.24347826086956523,0.35443037974683544,0.288659793814433,79.0
Bronze,0.0,0.0,0.0,12.0
Brown,0.7003257328990228,0.5155875299760192,0.5939226519337016,417.0
Copper,0.0,0.0,0.0,5.0
Pink,0.5508982035928144,0.431924882629108,0.4842105263157895,213.0
Off White,0.0,0.0,0.0,19.0
Maroon,0.09090909090909091,0.017241379310344827,0.02898550724637681,58.0
Purple,0.7093023255813954,0.3446327683615819,0.46387832699619774,177.0
Khaki,0.0,0.0,0.0,17.0
Silver,0.4796747967479675,0.427536231884058,0.45210727969348663,138.0
Orange,0.6956521739130435,0.2318840579710145,0.34782608695652173,69.0
Coffee Brown,0.0,0.0,0.0,4.0
Red,0.46357615894039733,0.8467741935483871,0.5991440798858773,248.0
Charcoal,0.0,0.0,0.0,16.0
Gold,0.224,0.4117647058823529,0.2901554404145078,68.0
Steel,0.0,0.0,0.0,33.0
Multi,0.0,0.0,0.0,42.0
Magenta,0.0,0.0,0.0,23.0
Sea Green,0.0,0.0,0.0,2.0
Cream,0.0,0.0,0.0,40.0
Yellow,0.5,0.7261904761904762,0.5922330097087378,84.0
Olive,0.3333333333333333,0.047619047619047616,0.08333333333333333,42.0
Grey Melange,0.0,0.0,0.0,15.0
Teal,0.0,0.0,0.0,5.0
Burgundy,0.0,0.0,0.0,5.0
Peach,1.0,0.04,0.07692307692307693,25.0
Rust,0.0,0.0,0.0,6.0
Skin,0.16666666666666666,0.04,0.06451612903225806,25.0
Turquoise Blue,0.0,0.0,0.0,10.0
Tan,0.0,0.0,0.0,15.0
Lavender,0.0,0.0,0.0,28.0
Metallic,0.0,0.0,0.0,5.0
Mustard,0.0,0.0,0.0,11.0
Mauve,0.0,0.0,0.0,5.0
Nude,0.0,0.0,0.0,6.0
Rose,0.0,0.0,0.0,1.0
Mushroom Brown,0.0,0.0,0.0,1.0
Taupe,0.0,0.0,0.0,1.0
Lime Green,0.0,0.0,0.0,0.0
Fluorescent Green,0.0,0.0,0.0,1.0
micro avg,0.5826,0.5826,0.5826,5000.0
macro avg,0.2107039534567837,0.17373641059926748,0.1673356189566895,5000.0
weighted avg,0.551951005902614,0.5826,0.5413636893532968,5000.0
