,precision,recall,f1-score,support
Apparel,0.9916556873078612,0.9269293924466339,0.958200721408869,2436.0
Accessories,0.81,0.9854014598540146,0.889132821075741,1233.0
Footwear,0.9971014492753624,0.9653882132834425,0.9809885931558935,1069.0
Personal Care,0.9468085106382979,0.7235772357723578,0.8202764976958526,246.0
Free Items,0.0,0.0,0.0,14.0
Sporting Goods,0.0,0.0,0.0,1.0
Home,0.0,0.0,0.0,1.0
accuracy,0.9366,0.9366,0.9366,0.9366
macro avg,0.5350808067459316,0.5144709001937784,0.521228376190908,5000.0
weighted avg,0.9426439194348668,0.9366,0.9361885100510448,5000.0
