,precision,recall,f1-score,support
Casual,0.8637098637098637,0.9659002841642986,0.911951219512195,3871.0
Ethnic,0.9384615384615385,0.7416413373860182,0.8285229202037351,329.0
Sports,0.9619047619047619,0.20159680638722555,0.33333333333333337,501.0
Formal,0.6209150326797386,0.7392996108949417,0.674955595026643,257.0
Smart Casual,0.0,0.0,0.0,6.0
Party,0.0,0.0,0.0,3.0
Travel,0.0,0.0,0.0,1.0
Home,0.0,0.0,0.0,1.0
micro avg,0.8548,0.8601328235057356,0.8574581201725349,4969.0
macro avg,0.4231238995944878,0.33105475485406055,0.3435953835094883,4969.0
weighted avg,0.8640901947449601,0.8601328235057356,0.833811792996696,4969.0
